source_id,source_name,catalog,ra_deg,dec_deg,gaia_g_mag,gaia_bp_rp,parallax_mas,parallax_error_mas,x,y,aperture_radius,annulus_inner_radius,annulus_outer_radius,flux_red,flux_green,flux_blue,flux_luminance,flux_error_red,flux_error_green,flux_error_blue,flux_error_luminance,instrumental_mag_red,instrumental_mag_green,instrumental_mag_blue,instrumental_mag_luminance,instrumental_blue_minus_red,calibrated_mag_luminance,absolute_magnitude_proxy,plot_color_index,display_color_hex,snr_red,snr_green,snr_blue,snr_luminance,background_red,background_green,background_blue,background_luminance,is_saturated,used_for_zero_point,flags
3029228377905057920,3029228377905057920,gaia-dr3,115.38864934187,-14.62949909049,9.859989,1.369305,1.3401,0.013799999840557575,883.0112380835682,1155.8198652051608,5.0,8.0,12.0,1165173.6117239392,1086883.516634596,934751.0774941891,1062351.3498290523,1309.2807689844446,1239.3981214791718,1137.9964877435723,1213.0274302305431,-15.165976600950582,-15.090457506044757,-14.92673993610218,-15.065670435122529,0.23923666484840211,10.35472681129478,0.9904128472522853,1.369305,#ffeecd,889.9341068208896,876.9446215857132,821.4006700034904,875.7851004466949,331.31794245913625,276.82313801022246,257.40799847524613,287.47296685760375,False,True,
3029534351374875776,3029534351374875776,gaia-dr3,115.7883526584,-14.83806525503,10.065944,0.798139,7.5749,0.01489999983459711,1439.5773595681592,2005.8912287672026,5.0,8.0,12.0,1023407.40746308,1212582.47330113,1237939.032804327,1157883.8420459498,1208.8063844379992,1293.7408105120555,1368.083860610684,1284.6856758864785,-15.025121390220054,-15.209278216601206,-15.231748141660477,-15.159162483779111,-0.20662675144042275,10.261234762638198,4.658119282018257,0.798139,#d3faff,846.6264081976078,937.2684725166833,904.8707235327935,901.2973864186421,298.75001900363714,288.67160528548993,298.00291431485675,296.3187816878781,False,True,Catalog match offset 2.48 arcsec.
3029219581812377984,3029219581812377984,gaia-dr3,115.21253942479,-14.78032638669,9.706038,1.538284,1.0342,0.016699999570846558,1197.3306441335942,734.9151057892195,5.0,8.0,12.0,1280266.5534996812,1080012.8069159419,897648.756134613,1085916.3988667259,1449.8424284234814,1215.005339056739,1118.410962903115,1241.9493243630197,-15.268250999631816,-15.083572263578361,-14.882766083557957,-15.089490979088737,0.3854849160738585,10.330906267328572,0.4039289345088264,1.538284,#ffd7b3,883.0384105201058,888.8955234998409,802.6108343971713,874.3644990697819,360.9377602650784,292.5799318787176,255.59089515998494,303.79555562045425,False,True,
3029534694972220928,3029534694972220928,gaia-dr3,115.82348419379,-14.83289679017,9.081217,0.475404,1.909,0.014600000344216824,1433.803812266547,2084.9846707302404,5.0,8.0,12.0,1653865.6749544693,2035144.6976461092,2299307.671989305,1995671.2697701878,2127.221975542751,2398.83822442405,2937.9460164895995,2516.3616730591107,-15.546250584391066,-15.771488231882461,-15.903992721025396,-15.750222512866234,-0.3577421366343305,9.670174733551075,1.0742043755194093,0.475404,#b7e2ff,777.4767720385613,848.3876390350324,782.6242072128437,793.0780742436258,551.9149181619287,608.7303353939205,689.2394218454137,622.1635715779848,False,True,
3029118976498787840,3029118976498787840,gaia-dr3,115.17113980636,-15.28054080902,8.107042,2.408641,1.0169,0.025100000202655792,2341.7965003399677,548.0775641682611,5.0,8.0,12.0,2159129.676530078,1800615.970022095,1463915.8503153727,1808352.1085042236,3169.8459523106753,1966.649785627461,1639.5729674997422,2189.6149419927137,-15.835696816708895,-15.638552744174849,-15.413790282663104,-15.643207492189983,0.4219065340457906,9.777189754227326,-0.18641900910145282,2.408641,#ffd5ad,681.1465632757862,915.5753012972806,892.864105064969,825.8767666512578,816.7752565350384,505.9555059322156,396.70892768888734,567.2267267550342,False,True,
3029206937420432000,3029206937420432000,gaia-dr3,115.3454191453,-14.81974408162,8.630721,0.298867,0.6652,0.025100000202655792,1312.7653555223733,1023.1788874090452,5.0,8.0,12.0,1963949.930387838,2417526.31391674,2691485.3714742158,2356530.748278559,2677.2966185056757,3382.7263135588983,4774.826382175886,3686.7254611266285,-15.732826028849505,-15.958428024805533,-16.074980059296887,-15.93068277713982,-0.34215403044738224,9.489714469277489,-1.3955243279851022,0.298867,#bae5ff,733.5570951731191,714.66801917336,563.6823532519119,639.1934450032049,706.8416312802583,844.7224619239569,1093.5455694235861,896.0032752947882,False,True,
3029202711180744832,3029202711180744832,gaia-dr3,115.36885223947,-14.90484231969,10.296396,0.277183,0.6353,0.027699999511241913,1513.18340875606,1059.104639387236,5.0,8.0,12.0,812070.8306975288,1089133.9117573886,1384957.3467320122,1095504.2829716706,1067.17759556644,1294.6109100563795,1654.3484503600414,1324.7404143256842,-14.773984777658073,-15.092703201597576,-15.353590996020722,-15.099035199532606,-0.5796062183626489,10.321362046884703,-0.6637436764389886,0.277183,#96c9ff,760.9519109764436,841.2828157843638,837.1618122110849,826.9576976175375,274.9459388712421,308.8525107235182,373.9849854935892,317.77247450780123,False,True,
3029232707231846784,3029232707231846784,gaia-dr3,115.26399256575,-14.56867485038,10.136578,0.127034,2.1261,0.021199999377131462,719.5645130258233,889.6321478676479,5.0,8.0,12.0,881736.1502406963,1272388.601586529,1518996.334635772,1224321.336009586,1090.2477628717058,1341.5356378873473,1584.456527441572,1325.566920326704,-14.863346616918339,-15.261549424802858,-15.453891814760027,-15.219738544810683,-0.5905451978416885,10.200658701606626,1.8385771390125214,0.127034,#94d6ff,808.7484150558665,948.4568025269078,958.6860278763857,923.6209181410738,276.0354150447529,321.2689624959603,372.0973189850338,323.8005604222417,False,True,
3029207933860776448,3029207933860776448,gaia-dr3,115.51298390048,-14.8840815202,10.285461,0.164521,0.6237,0.022299999371170998,1492.5237666242285,1383.8246429377737,5.0,8.0,12.0,804777.6840417407,1179477.7760647773,1463960.1078433874,1149295.8047731756,1083.5856065780888,1349.3061012455064,1627.1224695780563,1358.547045092451,-14.76418981294296,-15.179224405607314,-15.413823106458368,-15.151079553546232,-0.649633293515409,10.269317692871077,-0.7558035868732649,0.164521,#8ccdff,742.6987578611255,874.1365469080994,899.7233676104418,845.974240586541,263.0750720354263,311.30338580114767,373.69945213082246,317.41869725228753,False,True,
3029143784231774464,3029143784231774464,gaia-dr3,115.86323804877,-15.04868264291,10.116423,1.137979,0.928,0.2425999939441681,1938.4817379196818,2131.382346094429,5.0,8.0,12.0,1089137.0010430755,1078601.1675444203,1068406.775361753,1078822.6267756417,1268.798039217771,1234.7122821939372,1277.9578166336428,1244.1501554875258,-15.092706281241435,-15.08215221514882,-15.071841583652477,-15.082375116469082,0.02086469758895859,10.338022129948227,0.17576201104253641,1.137979,#fffdfa,858.400602285405,873.5647835525489,836.0266367602942,867.1160968933852,312.2854569973424,282.4249202082865,275.2271845797077,288.6086027068086,False,True,Catalog match offset 2.54 arcsec.
